tag_name,address
sdf/PHS_PLC_Heartbeat,R<Int16>1
sdf/PLC_PHS_Heartbeat,R<Int16>0
sdf/KaishiCVA_Running,R<Int16[13]>50
sdf/KaishiCVB_Running,R<Int16[14]>50
sdf/KaishiCVC_Running,R<Int16[15]>50
PHS_PLC_Heartbeat,R<Int16>1
PLC_PHS_Heartbeat,R<Int16>0
KaishiCVA_Running,R<Int16[13]>50
KaishiCVB_Running,R<Int16[14]>50
KaishiCVC_Running,R<Int16[15]>50
