tag_name,address
returnCode,R<Int16>41
LEAKAGE_LOCATION,R<Int16>206.03
LINE_NAME,R<String6>87
PHS_PLC_Heartbeat,R<Int16>1
PALLET_NO,R<String8>83
MODEL_NAME,R<String10>59
LEAKAGE_POINTS,R<String4>209
NG_CODE,R<String4>201
AMBIENT_TEMP,R<Int16>204
REVISION,R<String2>69
TEST_TAG,R<Int16>5
ROBOT_LEAKCHECK_FLAG,R<Int16>210
TREND_DATA_FN,R<Int16>211.02
CYCLE_TIME,R<Int16>203
PHS_OK,R<Int16>40
AMBIENT_MOISTURE,R<Int16>205
REQUEST_TO_PHS,R<Int16>5
SN,R<String10>78
TEST_RESULT,R<String2>200
