Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"1ST_CHARGE_1.FILLING_TIME","E01:14525",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_1.FILLING_TIME",
"1ST_CHARGE_1.MACHINE_FINISH","E01:14451",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.MACHINE_FINISH",
"1ST_CHARGE_1.MACHINE_FINISH_TIME_A","E01:14452",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.MACHINE_FINISH_TIME",
"1ST_CHARGE_1.MACHINE_FINISH_TIME_B","E01:14453",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.MACHINE_FINISH_TIME",
"1ST_CHARGE_1.MACHINE_FINISH_TIME_C","E01:14454",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.MACHINE_FINISH_TIME",
"1ST_CHARGE_1.MACHINE_FINISH_TIME_D","E01:14455",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.MACHINE_FINISH_TIME",
"1ST_CHARGE_1.MACHINE_STATUS","E01:14441",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.MACHINE_STATUS",
"1ST_CHARGE_1.MACHINE_STATUS_TIME_A","E01:14442",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.MACHINE_STATUS_TIME",
"1ST_CHARGE_1.MACHINE_STATUS_TIME_B","E01:14443",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.MACHINE_STATUS_TIME",
"1ST_CHARGE_1.MACHINE_STATUS_TIME_C","E01:14444",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.MACHINE_STATUS_TIME",
"1ST_CHARGE_1.MACHINE_STATUS_TIME_D","E01:14445",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.MACHINE_STATUS_TIME",
"1ST_CHARGE_1.OPERATOR_FINISH","E01:14456",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.OPERATOR_FINISH",
"1ST_CHARGE_1.OPERATOR_FINISH_TIME_A","E01:14457",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.OPERATOR_FINISH_TIME",
"1ST_CHARGE_1.OPERATOR_FINISH_TIME_B","E01:14458",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.OPERATOR_FINISH_TIME",
"1ST_CHARGE_1.OPERATOR_FINISH_TIME_C","E01:14459",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.OPERATOR_FINISH_TIME",
"1ST_CHARGE_1.OPERATOR_FINISH_TIME_D","E01:14460",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.OPERATOR_FINISH_TIME",
"1ST_CHARGE_1.OPERATOR_STATUS","E01:14446",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.OPERATOR_STATUS",
"1ST_CHARGE_1.OPERATOR_STATUS_TIME_A","E01:14447",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.OPERATOR_STATUS_TIME",
"1ST_CHARGE_1.OPERATOR_STATUS_TIME_B","E01:14448",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.OPERATOR_STATUS_TIME",
"1ST_CHARGE_1.OPERATOR_STATUS_TIME_C","E01:14449",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.OPERATOR_STATUS_TIME",
"1ST_CHARGE_1.OPERATOR_STATUS_TIME_D","E01:14450",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.OPERATOR_STATUS_TIME",
"1ST_CHARGE_1.PHS_OK","E01:14401",Word,1,R/W,10,,,,,,,,,,"1ST_CHARGE_1.PHS_OK",
"1ST_CHARGE_1.REQUEST_TO_PHS","E01:14400",Word,1,R/W,10,,,,,,,,,,"1ST_CHARGE_1.REQUEST_TO_PHS",
"1ST_CHARGE_1.SUPPLY_PRESSURE","E01:14529",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_1.SUPPLY_PRESSURE",
"1ST_CHARGE_1.TIMEOUT_TIMER","E01:14532",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_1.TIMEOUT_TIMER",
"1ST_CHARGE_1.UNIT_DATA","E01:14500.50H",String,1,RO,10,,,,,,,,,,"1ST_CHARGE_1.MODEL_NAME",
"1ST_CHARGE_1.VACUUM_DETERMINE","E01:14531",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_1.VACUUM_DETERMINE",
"1ST_CHARGE_1.VACUUM_TIMER","E01:14530",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_1.VACUUM_TIMER",
"1ST_CHARGE_1.WORK_PIECE_ARRIVE","E01:14423",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_1.WORK_PIECE_ARRIVE",
"1ST_CHARGE_1.WORK_PIECE_ARRIVE_END_TIME_A","E01:14428",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.WORK_PIECE_ARRIVE_END_TIME",
"1ST_CHARGE_1.WORK_PIECE_ARRIVE_END_TIME_B","E01:14429",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.WORK_PIECE_ARRIVE_END_TIME",
"1ST_CHARGE_1.WORK_PIECE_ARRIVE_END_TIME_C","E01:14430",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.WORK_PIECE_ARRIVE_END_TIME",
"1ST_CHARGE_1.WORK_PIECE_ARRIVE_END_TIME_D","E01:14431",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.WORK_PIECE_ARRIVE_END_TIME",
"1ST_CHARGE_1.WORK_PIECE_ARRIVE_START_TIME_A","E01:14424",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.WORK_PIECE_ARRIVE_START_TIME",
"1ST_CHARGE_1.WORK_PIECE_ARRIVE_START_TIME_B","E01:14425",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.WORK_PIECE_ARRIVE_START_TIME",
"1ST_CHARGE_1.WORK_PIECE_ARRIVE_START_TIME_C","E01:14426",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.WORK_PIECE_ARRIVE_START_TIME",
"1ST_CHARGE_1.WORK_PIECE_ARRIVE_START_TIME_D","E01:14427",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_1.WORK_PIECE_ARRIVE_START_TIME",
"1ST_CHARGE_2.CYCLE_TIME","E01:14932",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_2.CYCLE_TIME",
"1ST_CHARGE_2.DISCHARGE_PRESSURE","E01:14928",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_2.DISCHARGE_PRESSURE",
"1ST_CHARGE_2.EMERGENCY_CALL","E01:14814",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EMERGENCY_CALL",
"1ST_CHARGE_2.EMERGENCY_CALL_END_TIME_A","E01:14819",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EMERGENCY_CALL_END_TIME",
"1ST_CHARGE_2.EMERGENCY_CALL_END_TIME_B","E01:14820",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EMERGENCY_CALL_END_TIME",
"1ST_CHARGE_2.EMERGENCY_CALL_END_TIME_C","E01:14821",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EMERGENCY_CALL_END_TIME",
"1ST_CHARGE_2.EMERGENCY_CALL_END_TIME_D","E01:14822",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EMERGENCY_CALL_END_TIME",
"1ST_CHARGE_2.EMERGENCY_CALL_START_TIME_A","E01:14815",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EMERGENCY_CALL_START_TIME",
"1ST_CHARGE_2.EMERGENCY_CALL_START_TIME_B","E01:14816",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EMERGENCY_CALL_START_TIME",
"1ST_CHARGE_2.EMERGENCY_CALL_START_TIME_C","E01:14817",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EMERGENCY_CALL_START_TIME",
"1ST_CHARGE_2.EMERGENCY_CALL_START_TIME_D","E01:14818",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EMERGENCY_CALL_START_TIME",
"1ST_CHARGE_2.EQUIPMENT_CALL_A","E01:14802",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_CALL",
"1ST_CHARGE_2.EQUIPMENT_CALL_B","E01:14803",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_CALL",
"1ST_CHARGE_2.EQUIPMENT_CALL_C","E01:14804",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_CALL",
"1ST_CHARGE_2.EQUIPMENT_CALL_D","E01:14805",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_CALL",
"1ST_CHARGE_2.EQUIPMENT_CALL_END_TIME_A","E01:14810",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_CALL_END_TIME",
"1ST_CHARGE_2.EQUIPMENT_CALL_END_TIME_B","E01:14811",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_CALL_END_TIME",
"1ST_CHARGE_2.EQUIPMENT_CALL_END_TIME_C","E01:14812",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_CALL_END_TIME",
"1ST_CHARGE_2.EQUIPMENT_CALL_END_TIME_D","E01:14813",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_CALL_END_TIME",
"1ST_CHARGE_2.EQUIPMENT_CALL_START_TIME_A","E01:14806",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_CALL_START_TIME",
"1ST_CHARGE_2.EQUIPMENT_CALL_START_TIME_B","E01:14807",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_CALL_START_TIME",
"1ST_CHARGE_2.EQUIPMENT_CALL_START_TIME_C","E01:14808",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_CALL_START_TIME",
"1ST_CHARGE_2.EQUIPMENT_CALL_START_TIME_D","E01:14809",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_CALL_START_TIME",
"1ST_CHARGE_2.EQUIPMENT_RUNNING","E01:14832",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_RUNNING",
"1ST_CHARGE_2.EQUIPMENT_RUNNING_END_TIME_A","E01:14837",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_RUNNING_END_TIME",
"1ST_CHARGE_2.EQUIPMENT_RUNNING_END_TIME_B","E01:14838",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_RUNNING_END_TIME",
"1ST_CHARGE_2.EQUIPMENT_RUNNING_END_TIME_C","E01:14839",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_RUNNING_END_TIME",
"1ST_CHARGE_2.EQUIPMENT_RUNNING_END_TIME_D","E01:14840",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_RUNNING_END_TIME",
"1ST_CHARGE_2.EQUIPMENT_RUNNING_START_TIME_A","E01:14833",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_RUNNING_START_TIME",
"1ST_CHARGE_2.EQUIPMENT_RUNNING_START_TIME_B","E01:14834",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_RUNNING_START_TIME",
"1ST_CHARGE_2.EQUIPMENT_RUNNING_START_TIME_C","E01:14835",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_RUNNING_START_TIME",
"1ST_CHARGE_2.EQUIPMENT_RUNNING_START_TIME_D","E01:14836",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.EQUIPMENT_RUNNING_START_TIME",
"1ST_CHARGE_2.FILLING_CONFIGURATION","E01:14926",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_2.FILLING_CONFIGURATION",
"1ST_CHARGE_2.FILLING_RESULT","E01:14927",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_2.FILLING_RESULT",
"1ST_CHARGE_2.FILLING_TIME","E01:14925",Word,1,RO,10,,,,,,,,,,"1ST_CHARGE_2.FILLING_TIME",
"1ST_CHARGE_2.MACHINE_FINISH","E01:14851",Word,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.MACHINE_FINISH",
"1ST_CHARGE_2.MACHINE_FINISH_TIME_A","E01:14852",BCD,1,RO,100,,,,,,,,,,"1ST_CHARGE_2.MACHINE_FINISH_TIME",
